algoritmo,grid,obstaculos,max_steps,episodios,cobertura_completa_pct,cobertura_media_pct,cobertura_std_pct,passos_medios,passos_std
rl,7x7,4,98,100,99.0,99.93,0.66,49.7,5.6
bfs,7x7,4,98,100,100.0,100.00,0.00,54.0,3.8
boustrophedon,7x7,4,98,100,100.0,100.00,0.00,57.7,3.8
spanning_tree,7x7,4,98,100,100.0,100.00,0.00,55.4,4.0
frontier,7x7,4,98,100,100.0,100.00,0.00,54.0,3.8
